운행순번,장양리시내버스공영정류장발,연세대발,구분,비고
1,-,6:33,공통,
2,-,6:50,공통,
3,6:30,7:45,공통,연세대발)원주역
4,7:17,8:43,공통,
5,8:10,9:38,공통,
6,9:05,10:28,공통,
7,10:05,11:28,공통,
8,10:30,12:03,공통,
9,11:02,12:28,공통,
10,11:52,13:18,공통,
11,12:20,13:43,공통,
12,13:05,14:23,공통,
13,13:40,15:05,공통,
14,14:30,16:00,공통,
15,15:20,16:43,공통,
16,15:40,16:55,공통,
17,16:25,17:53,공통,
18,17:35,18:53,공통,
19,18:00,19:18,공통,
20,18:22,19:50,공통,
21,19:35,21:03,공통,
22,21:00,-,공통,
23,21:10,-,공통,
